,Refugio,Estado,Municipio,Dirección,Uso del Inmueble,Capacidad personas,Capacidad Familias,Latitud,Longitud,Altitud,gla,mla,sla,glo,mlo,glo,latitude,longitude
55,ICATSIN.,SINALOA,ESCUINAPA,,,600,150,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56,CONALEP.,SINALOA,ESCUINAPA,,,300,75,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
57,Universidad de Occidente (U de O).,SINALOA,ESCUINAPA,,,400,100,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
58,"Esc. Primaria 
 ""6 de Enero"".",SINALOA,GUASAVE,"Calle Benigno Valenzuela, esquina con Callejón Cuauhtémoc, Col. Tierra y Libertad, Cd. de Guasave.",Educativo,160,40,"25°34'20.85""","108°27'41.73""",19,25,34,20.85,108,27,41.73,25.57245833,-108.4615917
59,"Esc. Primaria 
 ""Lic. Justo Sierra"".",SINALOA,GUASAVE,"Calle Nicolás Bravo, entre Independencia y Matamoros, Bamoa Pueblo.",Educativo,400,100,"25°42'15.06""","108°20'41.13""",38,25,42,15.06,108,20,41.13,25.70418333,-108.3447583
60,"Esc. ""Rafael Ramírez"".",SINALOA,GUASAVE,"Calle Rafeel Ramírez y Pino Suárez, El Burrión.",Educativo,1500,375,"25°32'24.99""","108°24'47.45""",16,25,32,24.99,108,24,47.45,25.540275,-108.4131806
61,Casa Ejidal.,SINALOA,GUASAVE,"Calle 7 y 8 Sinaloita, Juan José Ríos",Social,500,125,"25°45'21.12""","108°49'13.12""",16,25,45,21.12,108,49,13.12,25.75586667,-108.8203111
62,"Esc. Primaria 
 ""Andres Galvez""",SINALOA,GUASAVE,"Av. Benito Juárez, entre 16 de Septiembre y 5 de Febrero, El Nio.",Educativo,400,100,"25°37'28.86""","108°24'3.04""",29,25,37,28.86,108,24,3.04,25.62468333,-108.4008444
63,"Esc. Primaria ""José María Morelos y Pavón""",SINALOA,GUASAVE,"Calle Morelos, entre Av. Rubén Gallardo y Miguel Valle Dávalos, San Rafael.",Educativo,400,100,"25°29'36.19""","108°18'18.93""",19,25,29,36.19,108,18,18.93,25.49338611,-108.3052583
64,"Esc. Secundaria Tec. 
 # 54.",SINALOA,GUASAVE,"Calle 6 de Agosto y Calle 5, Corerepe.",Educativo,1500,375,"25°37'28.06""","108°42'27.59""",10,25,37,28.06,108,42,27.59,25.62446111,-108.7076639
